wikidata_id:ID(Coach),name,enwiki_title,country_of_citizenship,place_of_birth,native_language,sex_or_gender,date_of_birth,work_period_start,work_period_end
Q2316073,Earl Barron,Earl Barron,United States of America,Clarksdale,English,male,14 August 1981,2003,2017
Q627300,Del Beshore,Del Beshore,United States of America,Mechanicsburg,English,male,29 November 1956,1978,1985
Q616402,Wesley Person,Wesley Person,United States of America,Brantley,English,male,28 March 1971,1994,2005
Q2327023,T. R. Dunn,T. R. Dunn,United States of America,Birmingham,,male,01 February 1955,1977,1991
Q970313,Dave Wohl,Dave Wohl,United States of America,Queens,English,male,02 November 1949,1971,1977
Q2325022,John Lucas II,John Lucas II,United States of America,Durham,English,male,31 October 1953,1976,1990
Q2326870,Clifford Ray,Clifford Ray,United States of America,Union,English,male,21 January 1949,1971,1981
Q2308814,Stacey Augmon,Stacey Augmon,United States of America,Pasadena,English,male,01 August 1968,1991,2006
Q2327143,J. R. Reid,J. R. Reid,United States of America,Virginia Beach,,male,31 March 1968,1989,2003
Q1608798,Roger Brown,"Roger Brown (basketball, born 1942)",United States of America,Brooklyn,English,male,22 May 1942,1967,1975
Q1608041,Terry Tyler,Terry Tyler,United States of America,Detroit,English,male,30 October 1956,1978,1992
Q971106,Tony Brown,Tony Brown (basketball),United States of America,Chicago,English,male,29 July 1960,1982,1994
Q1612357,Terence Stansbury,Terence Stansbury,United States of America,Los Angeles,English,male,27 February 1961,1984,2003
Q1607997,Greg Minor,Greg Minor,United States of America,Sandersville,English,male,18 September 1971,1994,1999
Q316179,Moses Malone,Moses Malone,United States of America,Petersburg,English,male,23 March 1955,1974,1995
Q971538,Michael Cooper,Michael Cooper,United States of America,Los Angeles,English,male,15 April 1956,1978,1991
Q1608677,Ryan Bowen,Ryan Bowen,United States of America,Fort Madison,English,male,20 November 1975,1998,2009
Q1613303,Randy Livingston,Randy Livingston,United States of America,New Orleans,English,male,02 April 1975,1996,2008
Q1617178,Ed Pinckney,Ed Pinckney,United States of America,The Bronx,English,male,27 March 1963,1985,1997
Q628219,Yotam Halperin,Yotam Halperin,Israel,Tel Aviv,,male,24 January 1984,2001,2018
Q598416,Jo Jo White,Jo Jo White,United States of America,St. Louis,English,male,16 November 1946,1969,1981
Q2311290,Andrew DeClercq,Andrew DeClercq,United States of America,Detroit,English,male,01 February 1973,1995,2005
Q2316224,Frank Johnson,Frank Johnson (basketball),United States of America,Weirsdale,English,male,23 November 1958,1981,1994
Q2320891,Johnny Logan,Johnny Logan (basketball),United States of America,Richmond,English,male,01 January 1921,1946,1951
Q2327074,Phil Hubbard,Phil Hubbard,United States of America,Canton,English,male,13 December 1956,1979,1989
Q628668,Damon Jones,Damon Jones,United States of America,Galveston,English,male,25 August 1976,1997,2012
Q608514,Charles Oakley,Charles Oakley,United States of America,Cleveland,English,male,18 December 1963,1985,2004
Q2318726,Tracy Murray,Tracy Murray,United States of America,Los Angeles,English,male,25 July 1971,1992,2007
Q2326997,Tree Rollins,Tree Rollins,United States of America,Winter Haven,English,male,16 June 1955,1977,1995
Q2309877,Isaac Austin,Isaac Austin,United States of America,Gridley,English,male,18 August 1969,1991,2004
Q2324380,Bimbo Coles,Bimbo Coles,United States of America,Covington,English,male,22 April 1968,1990,2004
Q1613358,Doug West,Doug West,United States of America,Altoona,English,male,27 May 1967,1989,2001
Q641041,Darrell Armstrong,Darrell Armstrong,United States of America,Gastonia,English,male,22 June 1968,1991,2008
Q598461,Jim Brewer,Jim Brewer (basketball),United States of America,Maywood,English,male,03 December 1951,1973,1985
Q634770,Joe Buckhalter,Joe Buckhalter,United States of America,Chicago,English,male,01 August 1937,1961,1964
Q1607746,Larry Smith,"Larry Smith (basketball, born 1958)",United States of America,Rolling Fork,English,male,18 January 1958,1980,1993
Q314185,George Mikan,George Mikan,United States of America,Joliet,English,male,18 June 1924,1946,1956
Q316161,Lenny Wilkens,Lenny Wilkens,United States of America,Brooklyn,English,male,28 October 1937,1960,1975
Q1608885,Louie Dampier,Louie Dampier,United States of America,Indianapolis,English,male,20 November 1944,1967,1979
Q1607305,Howie Schultz,Howie Schultz,United States of America,Saint Paul,English,male,03 July 1922,,
Q1612746,Kasib Powell,Kasib Powell,United States of America,Teaneck,English,male,18 March 1981,2003,2012
Q1616737,Johnny Davis,"Johnny Davis (basketball, born 1955)",United States of America,Detroit,English,male,21 October 1955,1976,1986
Q608639,Stan Van Gundy,Stan Van Gundy,United States of America,Indio,English,male,26 August 1959,,
Q637382,Jeff Mullins,Jeff Mullins (basketball),United States of America,Queens,English,male,18 March 1942,1964,1976
Q973751,Ed Dahler,Ed Dahler,United States of America,Hillsboro,English,male,31 January 1926,1950,1952
Q2331770,Tony Campbell,Tony Campbell,United States of America,Teaneck,English,male,07 May 1962,1984,1997
Q1027716,Calvin Murphy,Calvin Murphy,United States of America,Norwalk,English,male,09 May 1948,1970,1983
Q1027929,Dick Van Arsdale,Dick Van Arsdale,United States of America,Indianapolis,English,male,1943; 22 February 1943,1965,1977
Q982612,Vinny Del Negro,Vinny Del Negro,United States of America,Springfield,English,male,09 August 1966,1988,2001
Q2327855,Marc Iavaroni,Marc Iavaroni,United States of America,Jamaica,English,male,15 September 1956,1978,1992
Q2330320,Myer Skoog,Whitey Skoog,United States of America,Duluth,English,male,02 November 1926,1951,1957
Q316246,Phil Jackson,Phil Jackson,United States of America,Deer Lodge,English,male,17 September 1945,1967,1980
Q351802,Jerry Stackhouse,Jerry Stackhouse,United States of America,Kinston,English,male,05 November 1974,1995,2013
Q352073,Shareef Abdur-Rahim,Shareef Abdur-Rahim,United States of America,Marietta,English,male,11 December 1976,1996,2008
Q2327355,Paul Pressey,Paul Pressey,United States of America,Richmond,English,male,24 December 1958,1982,1993
Q2330509,Matt Guokas,Matt Guokas,United States of America,Philadelphia,English,male,25 February 1944,1966,1976
Q2331753,Earl Cureton,Earl Cureton,United States of America,Detroit,,male,03 September 1957,1980,1997
Q2331791,Jim Cleamons,Jim Cleamons,United States of America,Lincolnton,English,male,13 September 1949,1971,1980
Q324249,Kevin Burleson,Kevin Burleson,United States of America,Seattle,English,male,09 April 1979,2003,2013
Q657378,Dave Twardzik,Dave Twardzik,United States of America,Hershey,English,male,20 September 1950,1972,1980
Q660606,Dwane Casey,Dwane Casey,United States of America,Morganfield,English,male,17 April 1957,,
Q683843,Norman Richardson,Norman Richardson (basketball),United States of America,Brooklyn,English,male,24 July 1979,2001,2010
Q2331415,Scott Williams,Scott Williams (basketball),United States of America,Hacienda Heights,English,male,21 March 1968,1990,2005
Q1617237,Jack McMahon,Jack McMahon,United States of America,Brooklyn,English,male,03 December 1928,1952,1960
Q648447,Jay Carty,Jay Carty,United States of America,West Plains,English,male,04 July 1941,1968,1969
Q1089188,Chuck Person,Chuck Person,United States of America,Brantley,English,male,27 June 1964,1986,2000
Q1101154,Cliff Hagan,Cliff Hagan,United States of America,Owensboro,English,male,09 December 1931,1956,1969
Q2327180,Jeff Grayer,Jeff Grayer,United States of America,Flint,English,male,17 December 1965,1988,1999
Q2328645,Red Rocha,Red Rocha,United States of America,Hilo,English,male,18 September 1923,1947,1957
Q657817,Andy Toolson,Andy Toolson,United States of America,Chicago,English,male,19 January 1966,1990,2001
Q662328,Milton Wagner,Milt Wagner,United States of America,Camden,English,male,20 February 1963,1986,1999
Q1076942,Chris Anstey,Chris Anstey,Australia,Melbourne,,male,01 January 1975,1994,2010
Q1093489,Larry Wright,Larry Wright (basketball),United States of America,Monroe,English,male,23 November 1954,1976,1988
Q2327168,Bryant Stith,Bryant Stith,United States of America,Emporia,English,male,10 December 1970,1992,2002
Q2327974,Michael Doleac,Michael Doleac,United States of America,San Antonio,English,male,15 June 1977,1998,2008
Q2330106,David Thirdkill,David Thirdkill,United States of America,St. Louis,English,male,12 April 1960,1982,1996
Q2331870,M. L. Carr,M. L. Carr,United States of America,Wallace,,male,09 January 1951,1973,1985
Q1077437,Corny Thompson,Corny Thompson,United States of America,Middletown,English,male,05 February 1960,1982,1996
Q676481,Avery Johnson,Avery Johnson,United States of America,New Orleans,English,male,25 March 1965,1988,2004
Q647498,Michael Brooks,Michael Brooks (basketball),United States of America; France,Philadelphia,English,male,17 August 1958,1980,1996
Q646481,Richie Guerin,Richie Guerin,United States of America,The Bronx,English,male,29 May 1932,1956,1970
Q650632,Khalid Reeves,Khalid Reeves,United States of America,Queens,English,male,15 July 1972,1994,2005
Q2329453,Bob Harrison,Bob Harrison (basketball),United States of America,Toledo,English,male,12 August 1927,1949,1958
Q645386,Vitaly Potapenko,Vitaly Potapenko,Ukraine,Kyiv,,male,21 April 1975,1992,2008
Q647663,Billy Knight,Billy Knight,United States of America,Braddock,English,male,09 June 1952,1974,1985
Q671268,Ron Brewer,Ron Brewer,United States of America,Fort Smith,English,male,16 September 1955,1978,1986
Q658347,Maurice Lucas,Maurice Lucas,United States of America,Pittsburgh,English,male,18 February 1952,1974,1988
Q2327919,Hubert Davis,Hubert Davis,United States of America,Winston-Salem,English,male,17 May 1970,1992,2004
Q975034,Michael Ruffin,Michael Ruffin,United States of America,Denver,English,male,21 January 1977,1999,2011
Q975725,John Schweitz,John Schweitz,United States of America,Waterloo,English,male,19 April 1960,,
Q350464,Adam Morrison,Adam Morrison,United States of America,Glendive,English,male,19 July 1984,2006,2012
Q1077691,Chris Quinn,Chris Quinn,United States of America,New Orleans,English,male,27 September 1983,2006,2013
Q349684,Adam Harrington,Adam Harrington (basketball),United States of America,Bernardston,English,male,05 July 1980,2002,2010
Q1055229,James Singleton,James Singleton (basketball),United States of America,Chicago,English,male,20 July 1981,2003,2017
Q1102109,Lionel Chalmers,Lionel Chalmers,United States of America,Albany,English,male,10 November 1980,2004,2015
Q2329080,Walter McCarty,Walter McCarty,United States of America,Evansville,English,male,01 February 1974,1996,2006
Q339988,Leon Douglas,Leon Douglas,United States of America,Leighton,English,male,26 August 1954,1976,1992
Q316252,Šarūnas Jasikevičius,%C5%A0ar%C5%ABnas Jasikevi%C4%8Dius,Lithuania,Kaunas,,male,05 March 1976,1998,2014
Q317209,Penny Hardaway,Penny Hardaway,United States of America,Memphis,English,male,18 July 1971,1993,2007
Q659284,John Paxson,John Paxson,United States of America,Dayton,English,male,29 September 1960,1983,1994
Q339256,Rick Carlisle,Rick Carlisle,United States of America,Ogdensburg,English,male,27 October 1959,1984,1989
Q335762,Pat Riley,Pat Riley,United States of America,Rome,English,male,20 March 1945,1967,1976
Q680038,Wayne Cooper,Wayne Cooper (basketball),United States of America,Milan,,male,16 November 1956,1978,1992
Q1032471,Dennis Stewart,Dennis Stewart (basketball),United States of America,Steelton,English,male,11 April 1947,1970,1979
Q2565049,Zelmo Beaty,Zelmo Beaty,United States of America,Hillister,English,male,25 October 1939,1962,1975
Q2565934,Ernie Grunfeld,Ernie Grunfeld,Romania; United States of America,Satu Mare,English,male,24 April 1955,1977,1986
Q1627361,Greg Graham,Greg Graham,United States of America,Indianapolis,English,male,26 November 1970,1993,2000
Q519221,Andy Walker,Andy Walker (basketball),United States of America,Queens,English,male,25 March 1955,,
Q264393,Dave Cowens,Dave Cowens,United States of America,Newport,English,male,25 October 1948,1970,1983
Q264533,Russ Schoene,Russ Schoene,United States of America,Trenton,English,male,16 April 1960,1982,1994
Q192955,Steve Nash,Steve Nash,Canada; United Kingdom,Johannesburg,,male,07 February 1974,1996,2015
Q2561603,Vince Boryla,Vince Boryla,Poland; United States of America,East Chicago,English,male,11 March 1927,1949,1954
Q2566731,Larry Costello,Larry Costello,United States of America,Minoa,English,male,02 July 1931,1954,1968
Q2566860,Cliff Levingston,Cliff Levingston,United States of America,San Diego,English,male,04 January 1961,1982,1995
Q112449,Stacey King,Stacey King,United States of America,Lawton,English,male,29 January 1967,1989,1999
Q70386,Chris Welp,Chris Welp,Germany,Delmenhorst,,male,02 January 1964,1987,1999
Q451780,"Nate ""Tiny"" Archibald",Nate Archibald,United States of America,New York City,English,male,02 September 1948,1970,1984
Q1627284,Ed Manning,Ed Manning,United States of America,Summit,English,male,02 January 1944,1967,1978
Q150502,Muggsy Bogues,Muggsy Bogues,United States of America,Baltimore,English,male,09 January 1965,1987,2001
Q2567451,Hersey Hawkins,Hersey Hawkins,United States of America,Chicago,English,male,29 September 1966,1988,2001
Q2569207,Frank Selvy,Frank Selvy,United States of America,Corbin,English,male,09 November 1932,1954,1964
Q459413,Lindsey Hunter,Lindsey Hunter,United States of America,Utica,English,male,03 December 1970,1993,2010
Q1382444,Tariq Abdul-Wahad,Tariq Abdul-Wahad,France,Maisons-Alfort,,male,03 November 1974,1997,2003
Q1627427,Brooks Thompson,Brooks Thompson,United States of America,Dallas,English,male,19 July 1970,,
Q443267,Ralph Ogden,Ralph Ogden,United States of America,San Jose,English,male,25 January 1948,1970,1971
Q1648070,Mike Todorovich,Mike Todorovich,United States of America,St. Louis,English,male,11 June 1923,1947,1951
Q456776,Wes Unseld,Wes Unseld,United States of America,Louisville,English,male,14 March 1946,1968,1981
Q460516,Damon Stoudamire,Damon Stoudamire,United States of America,Portland,English,male,03 September 1973,1995,2008
Q520526,Marlon Garnett,Marlon Garnett,United States of America,Los Angeles,English,male,03 July 1975,1998,2013
Q523017,Miles Simon,Miles Simon,United States of America,Stockholm,English,male,21 November 1975,1999,2004
Q553232,Bob McAdoo,Bob McAdoo,United States of America,Greensboro,English,male,25 September 1951,1972,1992
Q554237,Chris Duhon,Chris Duhon,United States of America,Mamou,English,male,31 August 1982,2004,2013
Q1627788,Antonio Lang,Antonio Lang,United States of America,Mobile,English,male,15 May 1972,1994,2006
Q1640979,Andrew Levane,Andrew Levane,United States of America,Brooklyn,English,male,11 April 1920,1945,1953
Q521511,Sidney Wicks,Sidney Wicks,United States of America,Los Angeles,English,male,19 September 1949,1971,1982
Q711505,Billy Cunningham,Billy Cunningham,United States of America,Brooklyn,English,male,03 June 1943,1965,1976
Q150327,Danny Ferry,Danny Ferry,United States of America,Baltimore,English,male,17 October 1966,1989,2003
Q520357,Juwan Howard,Juwan Howard,United States of America,Chicago,English,male,07 February 1973,1994,2013
Q1626605,Terry Mills,Terry Mills (basketball),United States of America,Romulus,English,male,21 December 1967,1990,2001
Q65594,Boniface N'Dong,Boniface N%27Dong,Senegal; Germany,Dakar,,male,03 September 1977,1999,2013
Q770696,Cazzie Russell,Cazzie Russell,United States of America,Chicago,English,male,07 June 1944,1966,1981
Q134183,Magic Johnson,Magic Johnson,United States of America,Lansing,English,male,14 August 1959,1979,1991
Q772141,Wes Matthews,Wes Matthews,United States of America,Sarasota,English,male,24 August 1959,1980,1998
Q1277115,Earl Lloyd,Earl Lloyd,United States of America,Alexandria,English,male,03 April 1928,1950,1960
Q271933,Patrick Ewing,Patrick Ewing,Jamaica; United States of America,Kingston,English,male,05 August 1962,1985,2002
Q1390766,John Kuester,John Kuester,United States of America,Richmond,English,male,06 February 1955,1977,1980
Q115509,Reggie Geary,Reggie Geary,United States of America,Trenton,English,male,31 August 1973,1996,2004
Q1648767,Billy Hassett,Billy Hassett,United States of America,New York City,English,male,21 October 1921,1946,1951
Q2567386,Bob Dandridge,Bob Dandridge,United States of America,Richmond,English,male,15 November 1947,1969,1981
Q2567550,Johnny Kerr,Johnny Kerr,United States of America,Chicago,English,male,17 July 1932,1954,1966
Q2568302,Speedy Claxton,Speedy Claxton,United States of America,Queens,English,male,08 May 1978,2000,2010
Q523630,Steve Kerr,Steve Kerr,United States of America,Beirut,English,male,27 September 1965,1988,2003
Q268303,Kevin Porter,Kevin Porter (basketball),United States of America,Chicago,English,male,17 April 1950,1972,1983
Q549899,Hal Greer,Hal Greer,United States of America,Huntington,English,male,26 June 1936,1958,1973
Q553063,Steve Blake,Steve Blake,United States of America,Hollywood,English,male,26 February 1980,2003,2016
Q1381221,Nathaniel Clifton,Nat Clifton,United States of America,Little Rock,English,male,13 October 1922,,
Q449642,Luke Walton,Luke Walton,United States of America,San Diego,English,male,28 March 1980,2003,2013
Q2518209,Sean Marks,Sean Marks,New Zealand; United States of America,Auckland,English,male,23 August 1975,1998,2011
Q2561192,Walt Hazzard,Walt Hazzard,United States of America,Wilmington,English,male,15 April 1942,1964,1974
Q2567459,Brian Winters,Brian Winters,United States of America,Queens,English,male,01 March 1952,1974,1983
Q459471,Brian Scalabrine,Brian Scalabrine,United States of America,Long Beach,English,male,18 March 1978,2001,2012
Q2532704,Scott Burrell,Scott Burrell,United States of America,New Haven,English,male,12 January 1971,1993,2006
Q714640,Mark Aguirre,Mark Aguirre,United States of America,Chicago,English,male,10 December 1959,1981,1994
Q270975,Rasheed Wallace,Rasheed Wallace,United States of America,Philadelphia,English,male,17 September 1974,1995,2013
Q1280005,Kenny Anderson,Kenny Anderson (basketball),United States of America,Queens,English,male,09 October 1970,1991,2006
Q1627029,Jack Haley,Jack Haley (basketball),United States of America,Long Beach,English,male,27 January 1964,1987,1998
Q1654072,Marty Passaglia,Marty Passaglia,United States of America,San Francisco,English,male,22 April 1919,1946,1949
Q1658960,Larry Drew,Larry Drew,United States of America,Kansas City,English,male,02 April 1958,1980,1991
Q1626464,Bobby Hurley,Bobby Hurley,United States of America,Jersey City,English,male,28 June 1971,1993,1998
Q446086,Jack McCloskey,Jack McCloskey,United States of America,Mahanoy City,English,male,19 October 1925,,
Q1640832,Herm Schaefer,Herm Schaefer,United States of America,Fort Wayne,English,male,20 December 1918,1941,1950
Q924857,Ryan Gomes,Ryan Gomes,United States of America; Cape Verde,Waterbury,English,male,01 September 1982,2005,2016
Q925163,Michael Curry,Michael Curry (basketball),United States of America,Anniston,English,male,22 August 1968,,
Q926164,Eric Maynor,Eric Maynor,United States of America,Raeford,English,male,11 June 1987,2009,
Q460193,Tom Heinsohn,Tom Heinsohn,United States of America,Jersey City,English,male,26 August 1934,1956,1965
Q2563549,Paul Seymour,Paul Seymour (basketball),United States of America,Toledo,English,male,30 January 1928,1946,1960
Q504835,Andrew Gaze,Andrew Gaze,Australia,Melbourne,,male,24 July 1965,1984,2005
Q553516,Corey Brewer,Corey Brewer,United States of America,Portland,English,male,05 March 1986,2007,
Q926364,Scott Skiles,Scott Skiles,United States of America,La Porte,English,male,05 March 1964,1986,1997
Q1273409,Craig Hodges,Craig Hodges,United States of America,Park Forest,English,male,27 June 1960,1982,1998
Q786633,Dick Barnett,Dick Barnett,United States of America,Gary,English,male,02 October 1936,1959,1973
Q926325,Charlie Bell,Charlie Bell (basketball),United States of America,Flint,English,male,12 March 1979,2001,2012
Q2555675,Sam Vincent,Sam Vincent,United States of America,Lansing,English,male,18 May 1963,1985,1994
Q2561896,Royal Ivey,Royal Ivey,United States of America,Harlem,English,male,20 December 1981,2004,2014
Q2566442,Scott Wedman,Scott Wedman,United States of America,Harper,English,male,29 July 1952,1974,1986
Q2568175,Audie Norris,Audie Norris,United States of America,Jackson,English,male,18 December 1960,1982,1994
Q1377226,Jacque Vaughn,Jacque Vaughn,United States of America,Los Angeles,English,male,11 February 1975,1997,2009
Q775184,Dee Brown,"Dee Brown (basketball, born 1968)",United States of America,Jacksonville,English,male,29 November 1968,1990,2002
Q516364,Chris Fleming,Chris Fleming (basketball),Germany; United States of America,Forked River,English,male,03 March 1970,1994,2000
Q2556060,Brian Shaw,Brian Shaw (basketball),United States of America,Oakland,English,male,22 March 1966,1988,2003
Q1626604,Acie Earl,Acie Earl,United States of America,Peoria,English,male,23 June 1970,1993,2004
Q1626478,Todd Day,Todd Day,United States of America,Decatur,English,male,07 January 1970,1992,2007
Q1627976,Ron Anderson,"Ron Anderson (basketball, born 1958)",United States of America,Chicago,English,male,15 October 1958,1984,1999
Q1639693,Shawn Respert,Shawn Respert,United States of America,Detroit,English,male,06 February 1972,1995,2003
Q71980,Charlie Ward,Charlie Ward,United States of America,Thomasville,English,male,12 October 1970,1994,2005
Q127125,Mark Price,Mark Price,United States of America,Bartlesville,English,male,15 February 1964,1986,1998
Q2558817,Cliff Barker,Cliff Barker,United States of America,Muncie,English,male,15 January 1921,1949,1952
Q2562208,Paul Silas,Paul Silas,United States of America,Prescott,,male,12 July 1943,1964,1980
Q2562915,Ernie Calverley,Ernie Calverley,United States of America,Pawtucket,English,male,30 January 1924,1946,1949
Q2566498,Darrell Walker,Darrell Walker,United States of America,Chicago,English,male,09 March 1961,1983,1993
Q458065,Mike Brown,"Mike Brown (basketball, born 1970)",United States of America,Columbus,English,male,05 March 1970,,
Q2565189,Armen Gilliam,Armen Gilliam,United States of America,Pittsburgh,English,male,28 May 1964,1987,2006
Q1291124,Eduardo Nájera,Eduardo N%C3%A1jera,Mexico,Chihuahua City,,male,11 July 1976,2000,2012
Q2566650,Carl Braun,Carl Braun (basketball),United States of America,Brooklyn,English,male,25 September 1927,1947,1962
Q1332856,Joe Bryant,Joe Bryant,United States of America,Philadelphia,English,male,19 October 1954,1975,1992
Q242185,Bill Russell,Bill Russell,United States of America,Monroe,English,male,12 February 1934,1956,1969
Q1648778,Keith Askins,Keith Askins,United States of America,Athens,English,male,15 December 1967,1990,1999
Q1650846,Byron Dinkins,Byron Dinkins,United States of America,Charlotte,English,male,15 June 1967,1989,2005
Q1389137,Tony Delk,Tony Delk,United States of America,Covington,English,male,28 January 1974,1996,2008
Q1392830,Keith Bogans,Keith Bogans,United States of America,Alexandria,English,male,12 May 1980,2003,2016
Q259401,Alex Groza,Alex Groza,United States of America,Martins Ferry,English,male,07 October 1926,1949,1951
Q2567039,William Bedford,William Bedford (basketball),United States of America,Memphis,English,male,14 December 1963,1986,1993
Q710012,Bernard Thompson,Bernard Thompson,United States of America,Phoenix,English,male,30 August 1962,1984,2001
Q2566735,Terry Porter,Terry Porter,United States of America,Milwaukee,English,male,08 April 1963,1985,2002
Q717793,James Posey,James Posey,United States of America,Cleveland,English,male,13 January 1977,1998,2011
Q1627840,Brian Rowsom,Brian Rowsom,United States of America,Newark,English,male,23 October 1965,1987,1998
Q472405,Derrick Phelps,Derrick Phelps,United States of America,Queens,English,male,31 July 1972,1994,2010
Q1386659,Sam Mitchell,Sam Mitchell (basketball),United States of America,Columbus,English,male,02 September 1963,1985,2002
Q782348,Stephen Thompson,Stephen Thompson (basketball),United States of America,Los Angeles,English,male,02 December 1968,,
Q1640546,Curly Armstrong,Curly Armstrong,United States of America,Fort Wayne,English,male,01 November 1918,1941,1951
Q519305,Roshown McLeod,Roshown McLeod,United States of America,Jersey City,English,male,17 November 1975,1998,2002
Q193020,Tim Duncan,Tim Duncan,United States of America,Christiansted,English,male,25 April 1976,1997,2016
Q716093,Jamaal Magloire,Jamaal Magloire,Canada,Toronto,,male,21 May 1978,2000,2012
Q776019,Fred Schaus,Fred Schaus,United States of America,Newark,English,male,30 June 1925,1949,1954
Q1626844,Donnie Butcher,Donnis Butcher,United States of America,Williamsport,English,male,08 February 1936,1961,1966
Q926204,Willie Green,Willie Green,United States of America,Detroit,English,male,28 July 1981,2003,2015
Q719836,K. C. Jones,K. C. Jones,United States of America,Taylor,English,male,25 May 1932,1958,1967
Q776784,Mike Budenholzer,Mike Budenholzer,United States of America,Holbrook,English,male,06 August 1969,1993,1994
Q782461,Sherell Ford,Sherell Ford,United States of America,Baton Rouge,English,male,26 August 1972,1995,2006
Q2504822,Mike Woodson,Mike Woodson,United States of America,Indianapolis,English,male,24 March 1958,1980,1990
Q926153,Frank Ramsey,Frank Ramsey (basketball),United States of America,Corydon,English,male,13 July 1931,1954,1964
Q2552896,Coby Karl,Coby Karl,United States of America,Great Falls,English,male,08 June 1983,2007,2015
Q2562137,Joe Kleine,Joe Kleine,United States of America,Colorado Springs,English,male,04 January 1962,1985,2000
Q2562179,Gene Shue,Gene Shue,United States of America,Baltimore,,male,18 December 1931,1954,1964
Q2563053,Norm Van Lier,Norm Van Lier,United States of America,East Liverpool,English,male,01 April 1947,1969,1979
Q685842,Kevin Loughery,Kevin Loughery,United States of America,Brooklyn,English,male,28 March 1940,1962,1973
Q2340949,Greg Ballard,Greg Ballard (basketball),United States of America,Los Angeles,English,male,29 January 1955,1977,1989
Q2346231,Steve Burtt Sr.,Steve Burtt Sr.,United States of America,New York City,,male,05 November 1962,1984,2000
Q2348203,Em Bryant,Em Bryant,United States of America,Chicago,English,male,04 November 1938,1964,1972
Q2348633,Rex Walters,Rex Walters,United States of America,Omaha,English,male,12 March 1970,1993,2003
Q352118,Mo Williams,Mo Williams,United States of America,Jackson,English,male,19 December 1982,2003,2017
Q352168,Tiago Splitter,Tiago Splitter,Brazil,Blumenau,,male,01 January 1985,1999,2017
Q360955,Sam Cassell,Sam Cassell,United States of America,Baltimore,English,male,18 November 1969,1993,2009
Q370268,Caron Butler,Caron Butler,United States of America,Racine,English,male,13 March 1980,2002,2016
Q2348890,John Wetzel,John Wetzel (basketball),United States of America,Waynesboro,English,male,22 October 1944,1967,1976
Q2342717,Sean Higgins,Sean Higgins (basketball),United States of America,Los Angeles,English,male,30 December 1968,1990,2000
Q352319,Tim Hardaway,Tim Hardaway,United States of America,Chicago,English,male,01 September 1966,1989,2003
Q369563,Matt Zunic,Matt Zunic,United States of America,Refton,English,male,19 December 1919,1947,1949
Q371193,J. J. Barea,J. J. Barea,United States of America,Mayagüez,,male,26 June 1984,2001,
Q708983,Mike Penberthy,Mike Penberthy,United States of America,Los Gatos,English,male,29 November 1974,1997,2012
Q357458,Elgin Baylor,Elgin Baylor,United States of America,"Washington, D.C.",English,male,16 September 1934,1958,1971
Q359401,Pablo Prigioni,Pablo Prigioni,Argentina; Spain,Río Tercero,,male,17 July 1977,1995,2017
Q2332758,John Shumate,John Shumate,United States of America,Greenville,English,male,06 April 1952,1975,1980
Q2332240,Bobby Leonard,Bobby Leonard,United States of America,Terre Haute,English,male,17 July 1932,1956,1963
Q2338196,Glenn McDonald,Glenn McDonald,United States of America,Kewanee,English,male,21 March 1952,1974,1980
Q686536,David Vanterpool,David Vanterpool,United States of America,Daytona Beach,English,male,31 March 1973,1996,2007
Q706771,Darryl Dawkins,Darryl Dawkins,United States of America,Orlando,American English,male,11 January 1957,1975,2000
Q708639,Mike D'Antoni,Mike D%27Antoni,Italy; United States of America,Mullens,English,male,08 May 1951,1973,1990
Q705206,Bill Laimbeer,Bill Laimbeer,United States of America,Boston,English,male,19 May 1957,1979,1993
Q352162,Dennis Johnson,Dennis Johnson,United States of America,San Pedro,English,male,18 September 1954,1976,1990
Q2337198,Wallace Jones,Wallace Jones,United States of America,Harlan,English,male,14 July 1926,1949,1952
Q2335790,Howie Shannon,Howie Shannon,United States of America,Manhattan,English,male,10 June 1923,1948,1950
Q2348679,Terry Stotts,Terry Stotts,United States of America,Cedar Falls,English,male,25 November 1957,1980,1989
Q2337691,Brendan Malone,Brendan Malone,United States of America,New York City,,male,21 April 1942,,
Q2338212,Jerome Kersey,Jerome Kersey,United States of America,Clarksville,English,male,26 June 1962,1984,2001
Q2340309,Dean Meminger,Dean Meminger,United States of America,Walterboro,English,male,13 May 1948,1971,1977
Q2336889,Tom Thacker,Tom Thacker (basketball),United States of America,Covington,English,male,02 November 1939,1963,1971
Q370572,Adrian Griffin,Adrian Griffin,United States of America,Wichita,English,male,04 July 1974,1996,2008
Q372180,Ron Harper,Ron Harper,United States of America,Dayton,English,male,20 January 1964,1986,2001
Q2339032,Johnny Dawkins,Johnny Dawkins,United States of America,"Washington, D.C.",English,male,28 September 1963,1986,1995
Q2345365,Johnny McCarthy,Johnny McCarthy,United States of America,Buffalo,English,male,25 April 1934,1956,1964
Q2346518,Bevo Nordmann,Bevo Nordmann,United States of America,St. Louis,English,male,11 December 1939,1961,1965
Q2346944,Bob Weiss,Bob Weiss,United States of America,Easton,English,male,07 May 1942,1965,1977
Q2349875,Bill Curley,Bill Curley,United States of America,Boston,English,male,29 May 1972,1994,2001
Q2331957,Dennis Hopson,Dennis Hopson,United States of America,Toledo,English,male,22 April 1965,1987,2000
