wikidata_id:ID(Player),name,enwiki_title,country_of_citizenship,place_of_birth,native_language,sex_or_gender,date_of_birth,height,mass,work_period_start,work_period_end,nickname,handedness,schools_attended
Q3679107,Clarence Glover,Clarence Glover,United States of America,Horse Cave,English,male,01 November 1947,203 centimetre,210 pound,1971,1974,,,Caverna High School; Western Kentucky University
Q4954288,Brad Stevens,Brad Stevens,United States of America,Indianapolis,English,male,22 October 1976,1.85 metre,,,,,,Zionsville Community High School; DePauw University
Q3683287,Collis Temple,Collis Temple,United States of America,Kentwood,English,male,08 November 1952,203 centimetre,100 kilogram,,,,,Louisiana State University
Q3695980,Cotton Nash,Cotton Nash,United States of America,Jersey City,,male,24 July 1942,196 centimetre,215 pound,1964,1968,,,University of Kentucky
Q4984295,Boris Nachamkin,Boris Nachamkin,United States of America,Brooklyn,English,male,06 December 1933,198 centimetre,210 pound,,,,,New York University; Thomas Jefferson High School
Q62072476,Neemias Queta,Neemias Queta,Portugal,Barreiro,,male,13 July 1999,2.13 metre,,,,,,Utah State University
Q577502,Kyle O'Quinn,Kyle O%27Quinn,United States of America,Jamaica,English,male,26 March 1990,208 centimetre,114 kilogram,2012,,,,Andrew Jackson High School; Norfolk State University
Q572987,Anthony Carter,Anthony Carter (basketball),United States of America,Milwaukee,English,male,16 June 1975,188 centimetre,88 kilogram,1998,2012,,,Saddleback College; Alonzo A. Crim Open Campus High School; University of Hawaiʻi at Mānoa
Q61989472,Gabe Vincent,Gabe Vincent,Nigeria; United States of America,Modesto,,male,14 June 1996,191 centimetre,200 pound,2018,,,,"St. Mary's High School; University of California, Santa Barbara"
Q3675545,Chris Owens,Chris Owens (basketball),United States of America,Akron,English,male,01 March 1979,201 centimetre,113 kilogram,2002,2015,,,Tulane University; Duncanville High School
Q4909709,Bill Kennedy,Bill Kennedy (basketball),United States of America,Philadelphia,English,male,17 May 1938,180 centimetre,82 kilogram,,,,,Temple University
Q573600,Anthony Mason,Anthony Mason (basketball),United States of America,Miami,English,male,14 December 1966,201 centimetre,114 kilogram,1988,2003,Mase,,Springfield Gardens High School; Tennessee State University
Q62597403,Trayce Jackson-Davis,Trayce Jackson-Davis,United States of America,Greenwood,,male,22 February 2000,2.06 metre,245 pound,,,,,Indiana University Bloomington; Center Grove High School
Q4821393,Don Anielak,Don Anielak,United States of America,St. Louis,English,male,01 November 1930,201 centimetre,190 pound,1954,1955,,,Missouri State University
Q64009425,Cassius Stanley,Cassius Stanley,United States of America,Los Angeles,,male,18 August 1999,198 centimetre,87 kilogram,,,,,Duke University; Harvard-Westlake School; Sierra Canyon School
Q64009905,Jalen Lecque,Jalen Lecque,United States of America,Manhattan,,male,03 June 2000,191 centimetre,86 kilogram,2019,,,,primary school; Brewster Academy
Q3703039,Dave Magley,Dave Magley,United States of America,South Bend,English,male,24 November 1959,203 centimetre,202 pound,1982,1986,,,University of Kansas
Q3705847,Derek Smith,Derek Smith (basketball),United States of America,Hogansville,English,male,01 November 1961,198 centimetre,205 pound,1982,1991,,,University of Louisville
Q3705890,Derrick Gervin,Derrick Gervin,United States of America,Detroit,English,male,28 March 1963,203 centimetre,200 pound,1985,2001,,,University of Texas at San Antonio; Martin Luther King High School
Q3706947,Dick Duckett,Dick Duckett,United States of America,Brooklyn,English,male,25 March 1933,185 centimetre,185 pound,,,,,St. John's University; St. Francis Preparatory School
Q3706959,Dick O'Keefe,Dick O%27Keefe,United States of America,San Francisco,English,male,29 September 1923,188 centimetre,84 kilogram,1947,1951,,,Santa Clara University
Q65476825,Aric Holman,Aric Holman,United States of America,Owensboro,,male,11 July 1997,208 centimetre,102 kilogram; 225 pound,2019,,,,Mississippi State University; Owensboro High School
Q3709165,Dirk Minniefield,Dirk Minniefield,United States of America,Lexington,English,male,17 January 1961,191 centimetre,180 pound,,1993,,,University of Kentucky; Lafayette High School
Q3703121,Dave Bustion,Dave Bustion,United States of America,Gadsden,English,male,30 August 1949,203 centimetre,215 pound,1972,1978,,,University of Denver
Q3703886,DeJuan Wheat,DeJuan Wheat,United States of America,Louisville,English,male,14 October 1973,183 centimetre,165 pound,1997,2010,,,Ballard High School; University of Louisville
Q3704260,Dean Garrett,Dean Garrett,United States of America,Los Angeles,English,male,27 November 1966,208 centimetre,225 pound,1989,2002,,,San Clemente High School; Indiana University Bloomington
Q3704269,Dean Tolson,Dean Tolson,United States of America,Kansas City,English,male,25 November 1951,203 centimetre,190 pound,,,,,University of Arkansas; Central High School
Q3705888,Derrick Chievous,Derrick Chievous,United States of America,New York City,English,male,03 July 1967,201 centimetre,195 pound,1988,1996,,,University of Missouri; Holy Cross High School
Q3706354,Dexter Cambridge,Dexter Cambridge,The Bahamas,Eleuthera,,male,29 January 1970,201 centimetre,102 kilogram,1992,2001,,,University of Texas at Austin; Lon Morris College
Q3706938,Dick Bunt,Dick Bunt,United States of America,Queens,English,male,13 July 1929,183 centimetre,77 kilogram,1952,1953,,,New York University
Q5292173,Don Asmonga,Don Asmonga,United States of America,West Mifflin,English,male,15 February 1928,188 centimetre,185 pound,1953,1954,,,PennWest California
Q3704266,Dean Oliver,Dean Oliver (basketball),United States of America,Quincy,English,male,05 November 1978,180 centimetre,180 pound,2001,2011,,,Mason City High School; University of Iowa
Q65581020,Justin Robinson,"Justin Robinson (basketball, born 1997)",United States of America,Manassas,,male,12 October 1997,185 centimetre,195 pound,2019,,,,St. James School; Virginia Tech
Q587569,Paul Dawkins,Paul Dawkins,Turkey; United States of America,Saginaw,English,male,10 June 1957,196 centimetre,86 kilogram,1979,1990,,,Saginaw High School; Northern Illinois University
Q65030944,Cade Cunningham,Cade Cunningham,United States of America,Arlington,,male,25 September 2001,2.03 metre,100 kilogram,,,,,Montverde Academy; Bowie High School; Oklahoma State University–Stillwater
Q3705987,Desmond Ferguson,Desmond Ferguson,United States of America,Lansing,English,male,22 July 1977,201 centimetre,92 kilogram,,,,,University of Detroit Mercy; University of Missouri
Q597939,Art Collins,Art Collins (basketball),United States of America,Sandersville,English,male,14 April 1954,193 centimetre,84 kilogram,1976,1981,,,Miami Jackson High School
Q65927096,Robert Franks,Robert Franks (basketball),United States of America,Vancouver,,male,18 December 1996,206 centimetre,225 pound,2019,,,,Evergreen High School; Washington State University
Q64748342,John Konchar,John Konchar,United States of America,West Chicago,,male,22 March 1996,196 centimetre,95 kilogram,2019,,,,Purdue University Fort Wayne; Indiana University – Purdue University Fort Wayne; Community High School
Q5292227,Don Bielke,Don Bielke,United States of America,Saint Paul,English,male,1932,201 centimetre,104 kilogram,1955,1956,,,Valparaiso University
Q5292698,Don Grate,Don Grate,United States of America,Greenfield,English,male,27 August 1923,188 centimetre,84 kilogram,,,,,Ohio State University; McClain High School
Q5300575,Doug Holcomb,Doug Holcomb,United States of America,Milwaukee,English,male,09 February 1925,193 centimetre,94 kilogram,1945,1950,,,University of Wisconsin–Madison
Q5300636,Doug Kistler,Doug Kistler,United States of America,Radnor Township,English,male,21 March 1938,206 centimetre,210 pound,1961,1962,,,Radnor High School; Duke University
Q586957,Antoine Rigaudeau,Antoine Rigaudeau,France,Cholet,,male,17 December 1971,200 centimetre,102 kilogram,1987,2005,,,
Q588607,Noel Felix,Noel Felix,Belize; United States of America,Los Angeles,English,male,04 October 1981,206 centimetre,102 kilogram,2003,2015,,,"Inglewood High School; California State University, Fresno"
Q590253,Jerry Sichting,Jerry Sichting,United States of America,Martinsville,English,male,29 November 1956,185 centimetre,76 kilogram,1980,1990,,,Purdue University; Martinsville High School
Q591020,Kleggie Hermsen,Kleggie Hermsen,United States of America,Hill City,English,male,12 March 1923,206 centimetre,102 kilogram,1943,1953,,,University of Minnesota
Q598415,Garret Siler,Garret Siler,United States of America,Augusta,English,male,25 October 1986,211 centimetre,138 kilogram,2009,,,,Academy of Richmond County
Q65658814,Will Magnay,Will Magnay,Australia,Brisbane,,male,10 June 1998,,,,,,,University of Tulsa
Q65742398,Yam Madar,Yam Madar,Israel,Beit Dagan,,male,21 December 2000,1.9 metre,86 kilogram,2018,,,,
Q587512,Boo Ellis,Boo Ellis,United States of America,Hamilton,English,male,11 February 1936,196 centimetre,84 kilogram,1958,1966,,,Hamilton High School; Niagara University
Q594137,Ralph Sampson,Ralph Sampson,United States of America,Harrisonburg,English,male,07 July 1960,224 centimetre,104 kilogram,1983,1995,The Stick,,Harrisonburg High School; University of Virginia
Q2287483,Rubén Wolkowyski,Rub%C3%A9n Wolkowyski,Argentina; Poland,Juan José Castelli,,male,30 September 1973,208 centimetre,120 kilogram,1994,2015,,,
Q3705479,Dennis Bell,Dennis Bell (basketball),United States of America,Cincinnati,English,male,02 June 1951,196 centimetre,185 pound,1973,1978,,,Gulf Coast State College; Wyoming High School; Drake University
Q2308704,Bryant Reeves,Bryant Reeves,United States of America,Fort Smith,English,male,08 June 1973,213 centimetre,125 kilogram,1995,2001,Big Country,,Oklahoma State University–Stillwater
Q2308671,Julius Hodge,Julius Hodge,United States of America; Antigua and Barbuda,New York City,English,male,18 November 1983,201 centimetre,90 kilogram,2005,2015,,,North Carolina State University; St. Raymond High School for Boys
Q64009610,Marcos Louzada Silva,Didi Louzada,Brazil,Cachoeiro de Itapemirim,,male,1999; 02 July 1999; 07 February 1999,,,2017,,,,
Q3703301,David Pope,David Pope (basketball),United States of America,Newport News,English,male,15 April 1962,201 centimetre,220 pound,,,,,Menchville High School; Norfolk State University
Q5293380,Don Ray,Don Ray (basketball),United States of America,Mt. Juliet,English,male,08 July 1921,196 centimetre,86 kilogram,,,,,Western Kentucky University
Q2291591,Gordan Giriček,Gordan Giri%C4%8Dek,Croatia,Zagreb,,male,20 June 1977,198 centimetre,95 kilogram,1993,2011,,,
Q3703047,Dave Piontek,Dave Piontek,United States of America,Bethel Park,English,male,27 August 1934,198 centimetre,230 pound,1956,1963,,,Xavier University; Bethel Park High School
Q3705484,Dennis DuVal,Dennis DuVal,United States of America,Westbury,English,male,31 March 1952,190 centimetre,175 pound,,,,,Syracuse University; Westbury High School
Q3705488,Dennis Hamilton,Dennis Hamilton,United States of America,Huntington Beach,English,male,08 May 1944,203 centimetre,210 pound,,,,,Arizona State University; Huntington Beach High School
Q2308814,Stacey Augmon,Stacey Augmon,United States of America,Pasadena,English,male,01 August 1968,203 centimetre,93 kilogram,1991,2006,,,"University of Nevada, Las Vegas; John Muir High School"
Q2309146,Gerald Wilkins,Gerald Wilkins,United States of America,Atlanta,English,male,11 September 1963,198 centimetre,84 kilogram,1985,1999,Doug E. Fresh; Dougie; Jordan Stopper; Mr. Joker; Squirky,,Moberly Area Community College; University of Tennessee at Chattanooga; Benjamin Elijah Mays High School
Q5315960,Norton Barnhill,Norton Barnhill,United States of America,Winston-Salem,English,male,15 July 1953,193 centimetre,205 pound,,,,,Washington State University; West Forsyth High School
Q3703044,Dave Newmark,Dave Newmark,United States of America,Brooklyn,English,male,11 September 1946,213 centimetre,240 pound,1968,1974,,,Columbia University; Abraham Lincoln High School
Q3705850,Derek Strong,Derek Strong,United States of America,Los Angeles,English,male,09 February 1968,203 centimetre,220 pound,1990,2003,,,Xavier University; Palisades Charter High School
Q3706937,Dick Atha,Dick Atha,United States of America,Lafayette,English,male,21 September 1931,188 centimetre,190 pound,1955,1958,,,Benton Central Junior-Senior High School; Otterbein Elementary
Q3713364,Dominique Johnson,Dominique Johnson,United States of America,Detroit,English,male,09 June 1987,191 centimetre,88 kilogram,2010,,,,Azusa Pacific University
Q5289916,Domantas Sabonis,Domantas Sabonis,Lithuania; United States of America,Portland,,male,03 May 1996,208 centimetre,95 kilogram,2012,,,,Gonzaga University; Gonzaga University
Q5300318,Doug Bolstorff,Doug Bolstorff,United States of America,Austin,English,male,29 October 1931,193 centimetre,195 pound,1957,1958,,,Grand Rapids High School; University of Minnesota
Q5315831,Jimmy Carruth,Jimmy Carruth,United States of America,El Paso,English,male,04 November 1969,208 centimetre,265 pound,1994,1999,,,Virginia Tech; Austin High School
Q3703376,David Wingate,David Wingate (basketball),United States of America,Baltimore,English,male,15 December 1963,196 centimetre,185 pound,1986,2001,,,Georgetown University; Paul Laurence Dunbar High School
Q65706011,Ben Gardner,Ben Gardner (basketball),United States of America,Houston,,male,1919,,190 pound,,,,,Sam Houston State University
Q593919,Ernie Vandeweghe,Ernie Vandeweghe,Canada,Montreal,,male,12 September 1928,190 centimetre,89 kilogram,1949,1956,,,Columbia University Vagelos College of Physicians and Surgeons
Q3703042,Dave Minor,Dave Minor,United States of America,Missouri,English,male,23 February 1922,188 centimetre,185 pound,,,,,"University of California, Los Angeles"
Q3703149,David Cooke,David Cooke (basketball),United States of America,Sacramento,English,male,27 September 1963,203 centimetre,104 kilogram,1985,1991,,,Saint Mary's College of California; Christian Brothers High School
Q588764,Terry Cummings,Terry Cummings,United States of America,Chicago,English,male,15 March 1961,206 centimetre,100 kilogram,1982,2000,,,Carver Military Academy; DePaul University
Q598416,Jo Jo White,Jo Jo White,United States of America,St. Louis,English,male,16 November 1946,190 centimetre,86 kilogram,1969,1981,,,McKinley Classical Leadership Academy; Dartmouth College; University of Kansas
Q2288198,Kosta Perović,Kosta Perovi%C4%87,Serbia,Osijek,,male,19 February 1985,218 centimetre,109 kilogram,2000,2015,,,
Q2291089,Uroš Slokar,Uro%C5%A1 Slokar,Slovenia,Ljubljana,,male,14 May 1983,210 centimetre,115 kilogram,2001,,,,
Q2308083,Greg Kite,Greg Kite,United States of America,Houston,English,male,05 August 1961,211 centimetre,114 kilogram,1983,1996,,,Madison High School; Brigham Young University; Brigham Young University
Q2308556,Randy Brown,Randy Brown (basketball),United States of America,Chicago,English,male,22 May 1968,188 centimetre,86 kilogram,1991,2003,,,University of Houston; New Mexico State University
Q2309134,Lee Nailon,Lee Nailon,United States of America,South Bend,English,male,22 February 1975,206 centimetre,108 kilogram,1999,,,,Texas Christian University; Clay High School; Southwestern Community College
Q2307611,Vernon Maxwell,Vernon Maxwell,United States of America,Gainesville,English,male,12 September 1965,193 centimetre,82 kilogram,1988,2001,,,University of Florida; Buchholz High School; Verbum Dei High School
Q3703054,Dave Schellhase,Dave Schellhase,United States of America,Evansville,English,male,14 October 1944,191 centimetre,205 pound,1966,1968,,,North High School; Purdue University
Q3703053,Dave Robisch,Dave Robisch,United States of America,Cincinnati,English,male,22 December 1949,208 centimetre,235 pound,1971,1984,Polio; Robo,,University of Kansas; Springfield High School
Q3703896,DeWayne Scales,DeWayne Scales,United States of America,Dallas,English,male,28 December 1958,203 centimetre,208 pound,1980,1986,,,Louisiana State University; David W. Carter High School
Q64759181,Jarrell Brantley,Jarrell Brantley,United States of America,Charleston,,male,07 June 1996,198 centimetre,113 kilogram,2019,,,,College of Charleston; Ridge View High School; Montrose Christian School
Q64822039,Justin James,Justin James (basketball),United States of America,St. Lucie County,,male,24 January 1997,201 centimetre,86 kilogram,2019,,,,St. Lucie West Centennial High School; University of Wyoming
Q595258,Sergey Karasev,Sergey Karasev,Russia,Saint Petersburg,,male,26 October 1993,203 centimetre,95 kilogram,2010,,,,
Q5315988,Norman Black,Norman Black,United States of America,Baltimore,English,male,12 November 1957,196 centimetre,185 pound,1979,1997,,,Saint Joseph's University; Cardinal Gibbons School
Q65087995,Ishmail Wainright,Ish Wainright,United States of America; Uganda,Kansas City,,male,12 September 1994,196 centimetre,110 kilogram,,,,,Raytown South High School; Baylor University
Q2294935,Travis Best,Travis Best,United States of America,Springfield,English,male,12 July 1972,180 centimetre,83 kilogram,1995,2009,,,Springfield Central High School; Georgia Tech
Q3705491,Dennis Horner,Dennis Horner,United States of America,Linwood,English,male,05 February 1988,206 centimetre,230 pound; 104 kilogram,2010,,,,Holy Spirit High School; North Carolina State University
Q2308568,Jason Caffey,Jason Caffey,United States of America,Tuscaloosa,English,male,12 June 1973,203 centimetre,116 kilogram,1995,2003,,,University of Alabama; Davidson High School
Q3703049,Dave Popson,Dave Popson,United States of America,Kingston,English,male,17 May 1964,208 centimetre,220 pound,1987,1992,,,University of North Carolina at Chapel Hill
Q3705499,Dennis Nutt,Dennis Nutt,United States of America,Little Rock,English,male,25 March 1963,188 centimetre,170 pound,1985,1991,,,Texas Christian University; Little Rock Central High School
Q64562719,Vic Siegel,Vic Siegel,United States of America,Davenport,,male,24 August 1920,,160 pound,,,,,Davenport Central High School
Q3706308,Devin Green,Devin Green,United States of America,Columbus,English,male,25 October 1982,201 centimetre,215 pound,2005,,,,Hampton University; Beechcroft High School
Q3706945,Dick Dickey,Dick Dickey,United States of America,Rigdon,English,male,26 October 1926,185 centimetre,175 pound,1950,1952,,,North Carolina State University
Q3706307,Devin Gray,Devin Gray,United States of America,Baltimore,English,male,31 May 1972,201 centimetre,240 pound,1995,2001,,,Clemson University
Q64744025,Isaiah Roby,Isaiah Roby,United States of America,Dixon,,male,03 February 1998,203 centimetre,104 kilogram,2019,,,,Dixon High School; University of Nebraska–Lincoln
Q63351770,Tre Mann,Tre Mann,United States of America,Gainesville,,male,03 February 2001,1.91 metre,,,,,,The Villages Charter Schools; University of Florida
Q64985934,Charlie Brown,Charlie Brown Jr. (basketball),United States of America,Philadelphia,,male,02 February 1997,201 centimetre,199 pound,2019,,,,St. Thomas More School; Saint Joseph's University
Q5315876,Fred Christ,Fred Christ,United States of America,Queens,English,male,06 August 1930,193 centimetre,95 kilogram,1954,1955,,,St. Francis Preparatory School
Q65553146,Reggie Perry,Reggie Perry (basketball),United States of America,Thomasville,,male,21 March 2000,,250 pound,,,,,Mississippi State University; Thomasville High School
Q65030600,Terence Davis,Terence Davis,United States of America,Mississippi,,male,16 May 1997,193 centimetre,91 kilogram,2019,,,,Southaven High School; University of Mississippi
Q592854,Joe Cooper,Joe Cooper (basketball),United States of America,Houston,English,male,01 September 1957,208 centimetre,105 kilogram,1981,1991,,,University of Colorado Boulder; University of Tulsa
Q596374,Maurice Taylor,Maurice Taylor,Italy; United States of America,Detroit,English,male,30 October 1976,206 centimetre,118 kilogram,1997,2011,,,University of Michigan
Q596497,Tom Sewell,Tom Sewell (basketball),United States of America,Pensacola,English,male,11 March 1962,196 centimetre,84 kilogram,,,,,Booker T. Washington High School; Lamar University
Q64010219,Nic Claxton,Nic Claxton,United States of America,Greenville,,male,17 April 1999,211 centimetre,100 kilogram,2019,,,,University of Georgia
Q587071,Jerome Lane,Jerome Lane,United States of America,Akron,English,male,04 December 1966,198 centimetre,105 kilogram,1988,2000,,,University of Pittsburgh; St. Vincent–St. Mary High School
Q3696465,Craig Raymond,Craig Raymond,United States of America,Aberdeen,English,male,05 April 1945,211 centimetre,235 pound,1967,1973,,,Hudson's Bay High School; Brigham Young University
Q3701346,Dan Anderson,"Dan Anderson (basketball, born 1951)",United States of America,Torrance,English,male,01 January 1951,188 centimetre,185 pound,1974,1976,,,University of Southern California; North High School
Q3702845,Darryl Johnson,Darryl Johnson (basketball),United States of America,Flint,English,male,26 October 1965,185 centimetre,170 pound,1987,2003,,,Flint Central High School; Michigan State University
Q63070175,Mfiondu Kabengele,Mfiondu Kabengele,Canada,Burlington,,male,14 August 1997,208 centimetre,256 pound,2019,,,,Florida State University
Q3702839,Darrick Martin,Darrick Martin,United States of America,Denver,English,male,06 March 1971,180 centimetre,77 kilogram,1994,2009,,,"University of California, Los Angeles; St. Anthony High School"
Q3702840,Darrin Hancock,Darrin Hancock,United States of America,Birmingham,English,male,03 November 1971,201 centimetre,205 pound,1993,2005,,,Griffin High School; University of Kansas; Garden City Community College
Q2273491,Reece Gaines,Reece Gaines,United States of America,Madison,English,male,07 January 1981,198 centimetre,93 kilogram,2003,2012,,,University of Louisville; Madison West High School
Q2264284,Leo Mogus,Leo Mogus,United States of America,Youngstown,English,male,13 April 1921,193 centimetre,86 kilogram,1946,1951,,,
Q2267320,Ernie DiGregorio,Ernie DiGregorio,United States of America,North Providence,English,male,15 January 1951,183 centimetre,82 kilogram,1973,1978,,,Providence College; North Providence High School
Q2282706,Tamar Slay,Tamar Slay,United States of America,Beckley,English,male,02 April 1980,203 centimetre,98 kilogram,2002,2014,,,Marshall University; Woodrow Wilson High School
Q2287018,Travis Outlaw,Travis Outlaw,United States of America,Starkville,English,male,18 September 1984,205 centimetre,94 kilogram,2003,2014,,,Starkville High School
Q63069483,Braxton Key,Braxton Key,United States of America,Charlotte,,male,14 February 1997,,225 pound,,,,,University of Alabama
Q63119820,Ky Bowman,Ky Bowman,United States of America,Craven County,,male,17 June 1997,188 centimetre,82 kilogram,2019,,,,Boston College; Havelock High School
Q5115492,Chuck Grigsby,Chuck Grigsby,United States of America,Dayton,English,male,15 August 1928,196 centimetre,190 pound,1954,1955,,,Stivers School for the Arts; University of Dayton
Q3699680,Curtis Blair,Curtis Blair,United States of America,Roanoke,English,male,24 September 1970,190 centimetre,85 kilogram,,,,,Patrick Henry High School; University of Richmond
Q3699684,Curtis Perry,Curtis Perry,United States of America,"Washington, D.C.",English,male,13 September 1948,201 centimetre,220 pound,1970,1978,,,Missouri State University; Duke Ellington School of the Arts
Q3701332,Damone Brown,Damone Brown,United States of America,Buffalo,English,male,28 June 1979,206 centimetre,212 pound,2001,2013,,,Syracuse University; Seneca Vocational High School
Q3702836,Darren Tillis,Darren Tillis,United States of America,Dallas,English,male,23 February 1960,211 centimetre,215 pound,1982,1995,,,Lincoln High School; Cleveland State University
Q3703017,Dave Batton,Dave Batton,United States of America,Baltimore,English,male,26 March 1956,208 centimetre,240 pound,1978,1983,,,University of Notre Dame
Q3703030,Dave Feitl,Dave Feitl,United States of America,Butler,English,male,08 June 1962,211 centimetre,235 pound,1986,1996,,,Santa Rita High School; University of Texas at El Paso
Q578465,Dan Dickau,Dan Dickau,United States of America; Poland,Portland,English,male,16 September 1978,183 centimetre,86 kilogram,2002,2010,,,Prairie High School; University of Washington
Q583380,Fred Vinson,Fred Vinson (basketball),United States of America,Murfreesboro,English,male,28 January 1971,193 centimetre,190 pound,1994,2007,,,Georgia Tech; Chowan University
Q5171327,Cornelius Cash,Cornelius Cash,United States of America,Macon,English,male,03 March 1952,203 centimetre,215 pound,,,,,Bowling Green State University; Dunbar High School
Q5240892,David Wear,David Wear,United States of America,Long Beach,English,male,21 September 1990,208 centimetre,225 pound,2014,,,,Mater Dei High School; University of North Carolina at Chapel Hill
Q5258221,Dennis Boyd,Dennis Boyd (basketball),United States of America,Portsmouth,English,male,21 May 1954,185 centimetre,175 pound,,1979,,,University of Detroit Mercy
Q5220000,Elmer Behnke,Elmer Behnke,United States of America,Rockford,English,male,03 February 1929,201 centimetre,210 pound,1951,1952,,,Marengo Community High School; Bradley University
Q3701345,Dan Anderson,"Dan Anderson (basketball, born 1943)",United States of America,Minneapolis,English,male,15 February 1943,208 centimetre,230 pound,1967,1969,,,Augsburg University
Q5224559,Darrel Brown,Darrel Brown (basketball),United States of America,Eureka,English,male,14 March 1923,188 centimetre,175 pound,1948,1949,,,University of the Pacific
Q3701497,Dane Suttle,Dane Suttle,United States of America,Los Angeles,English,male,09 August 1961,191 centimetre,190 pound,1983,1986,,,John C. Fremont High School; Pepperdine University
Q577516,Jawad Williams,Jawad Williams,United States of America,Cleveland; Lakewood,English,male,19 February 1983,206 centimetre,99 kilogram,2005,,,,St. Edward High School; University of North Carolina at Chapel Hill
Q63042439,Jordan Bone,Jordan Bone,United States of America,Nashville,,male,05 November 1997,191 centimetre,82 kilogram,2019,,,,"University of Tennessee, Knoxville; The Ensworth School"
Q63112754,Precious Achiuwa,Precious Achiuwa,Nigeria,Port Harcourt,,male,19 September 1999,203 centimetre,102 kilogram,,,,,Montverde Academy; Saint Benedict's Preparatory School; University of Memphis
Q63199105,Wendell Moore Jr.,Wendell Moore Jr.,United States of America,Richmond,,male,18 September 2001,198 centimetre,213 pound,,,,,Cox Mill High School; Duke University
Q2271388,Todd MacCulloch,Todd MacCulloch,Canada,Winnipeg,,male,27 January 1976,213 centimetre,127 kilogram,1999,2003,,,University of Washington; Shaftesbury High School
Q582337,Anthony Frederick,Anthony Frederick,United States of America,Los Angeles,English,male,07 December 1964,201 centimetre,93 kilogram,1986,1999,,,Pepperdine University; Gardena High School
Q585866,Jae Crowder,Jae Crowder,United States of America,Villa Rica,English,male,06 July 1990,198 centimetre,107 kilogram,2012,,,,Marquette University; South Georgia Technical College; Villa Rica High School; Howard College
Q586337,"Roger Mason, Jr.",Roger Mason Jr.,United States of America,"Washington, D.C.",,male,10 September 1980,196 centimetre,91 kilogram,2002,2014,,,Our Lady of Good Counsel High School; Sidwell Friends School; University of Virginia
Q582252,Mike Scott,Mike Scott (basketball),United States of America,Chesapeake,English,male,16 July 1988,203 centimetre,108 kilogram,2012,,,,University of Virginia; Hargrave Military Academy; Deep Creek High School
Q62764597,Xavier Tillman,Xavier Tillman,United States of America,Grand Rapids,,male,12 January 1999,2.01 metre,245 pound,,,,,Grand Rapids Christian High School; Michigan State University
Q5132995,Clifford Lett,Clifford Lett,United States of America,Pensacola,English,male,23 December 1965,190 centimetre,77 kilogram,,,,,University of Florida
Q2274050,Óscar Torres,%C3%93scar Torres (basketball),Venezuela,Caracas,,male,18 December 1976,198 centimetre,95 kilogram,1997,2017,,,
Q578407,John Barnhill,John Barnhill (basketball),United States of America,Evansville,English,male,20 March 1938,185 centimetre,82 kilogram,1960,1972,,,Tennessee State University
Q5229774,Dave Scholz,Dave Scholz,United States of America,Decatur,English,male,12 April 1948,203 centimetre,100 kilogram,,,,,Stephen Decatur High School; University of Illinois at Urbana–Champaign
Q5213309,Dan Crawford,Danny Crawford,United States of America,Chicago,English,male,23 November 1953,,,,,,,Northeastern Illinois University
Q2258870,Tarence Kinsey,Tarence Kinsey,United States of America,Tampa,English,male,21 March 1984,198 centimetre,84 kilogram,2006,,,,Thomas Jefferson High School; University of South Carolina
Q2274270,Jake Voskuhl,Jake Voskuhl,United States of America,Tulsa,English,male,01 November 1977,211 centimetre,111 kilogram,2000,2011,,,University of Connecticut; Strake Jesuit College Preparatory
Q5084814,Charlie Epperson,Charlie Epperson,United States of America,McLeansboro,English,male,16 June 1919,188 centimetre,77 kilogram,,,,,University of Wisconsin–Madison
Q5126418,Clarence Brookins,Clarence Brookins,United States of America,Philadelphia,English,male,1946,193 centimetre,190 pound,1970,1971,,,John Bartram High School; Temple University
Q2256077,Paccelis Morlende,Paccelis Morlende,France,Creil,,male,19 April 1981,189 centimetre,85 kilogram,1998,2017,,,
Q2264273,Ben Scharnus,Ben Scharnus,United States of America,Newark,English,male,11 December 1917,188 centimetre,79 kilogram,1943,1949,,,Seton Hall University
Q2274527,Kent Benson,Kent Benson,United States of America,New Castle,English,male,27 December 1954,208 centimetre,105 kilogram,1977,1989,,,Indiana University Bloomington; New Castle High School
Q63117693,Dylan Windler,Dylan Windler,United States of America,Indianapolis,,male,22 September 1996,203 centimetre,89 kilogram,2019,,,,Perry Meridian High School; Belmont University
Q3696468,Craig Shelton,Craig Shelton,United States of America,"Washington, D.C.",English,male,01 May 1957,201 centimetre,210 pound,1980,1986,,,Georgetown University; Dunbar High School
Q3702277,Danny Finn,Danny Finn,United States of America,Brooklyn,English,male,29 May 1928,185 centimetre,84 kilogram,,,,,St. John's University
Q63133148,Jalen McDaniels,Jalen McDaniels,United States of America,King County,,male,31 January 1998,208 centimetre,195 pound,2019,,,,San Diego State University; Federal Way High School
Q5108525,Chris Wright,"Chris Wright (basketball, born 1989)",United States of America,Bowie,English,male,04 November 1989,185 centimetre,95 kilogram,2011,,,,Georgetown University; St. John's College High School
Q3703034,David Henderson,David Henderson (basketball),United States of America,Henderson,English,male,21 July 1964,196 centimetre,88 kilogram,1986,1998,,,Duke University
Q3699437,Howie Rader,Howie Rader,United States of America,Brooklyn,English,male,29 March 1921,185 centimetre,86 kilogram,1944,1950,,,Long Island University; James Madison High School
Q3701390,Dan Tieman,Dan Tieman,United States of America,Covington,English,male,30 November 1940,183 centimetre,84 kilogram,,,,,Covington Catholic High School; Thomas More University
